iris_code,iris_name,zone,observed_prix_m2,value_trap_score,alpha_score
930590101,Nord,PetiteCouronne,2815.0,76.0,50.9
951990102,Le Marché,GrandeCouronne,3090.0,66.3,50.9
920320111,RER-Lombart,PetiteCouronne,4658.0,60.8,50.8
952030107,Les Franchises,GrandeCouronne,3358.5,60.7,50.8
772080000,Gouaix (commune non irisée),GrandeCouronne,1618.0,70.2,50.8
773090000,Monthyon (commune non irisée),GrandeCouronne,2788.0,67.4,50.7
940280402,Casalis,PetiteCouronne,4564.0,63.2,50.7
773560000,Passy-sur-Seine (commune non irisée),GrandeCouronne,2063.0,78.2,50.7
785650000,Saint-Martin-des-Champs (commune non irisée),GrandeCouronne,3279.5,68.8,50.6
930590107,Joncherolles Fauvettes,PetiteCouronne,2783.0,82.8,50.5
930590105,Centre Ville,PetiteCouronne,2867.0,77.6,50.5
930780115,Sud-Est Mallet,PetiteCouronne,4473.0,63.6,50.5
784040000,Millemont (commune non irisée),GrandeCouronne,3557.5,72.2,50.5
773370204,Ville Nouvelle Sud-Ouest,GrandeCouronne,3284.0,76.0,50.5
912920000,Guibeville (commune non irisée),GrandeCouronne,3421.0,65.7,50.5
770910000,Les Chapelles-Bourbon (commune non irisée),GrandeCouronne,3409.0,84.1,50.5
914210104,Zone S5,GrandeCouronne,3440.5,63.8,50.5
940220102,Centre I,PetiteCouronne,2802.0,67.3,50.5
930050101,Fontaine des Prés 1,PetiteCouronne,3645.0,74.0,50.4
930590102,Maroc,PetiteCouronne,2899.0,78.4,50.4
774420000,Samoreau (commune non irisée),GrandeCouronne,3141.0,67.5,50.4
774240000,Saint-Martin-du-Boschet (commune non irisée),GrandeCouronne,1680.0,79.9,50.4
951500000,Chaussy (commune non irisée),GrandeCouronne,2559.0,79.9,50.3
940810309,Abbé Derry,PetiteCouronne,3430.0,71.8,50.3
784400105,Grand Ouest 2,GrandeCouronne,2692.0,80.1,50.3
951270125,Enclos-Bois Lapelote,GrandeCouronne,2887.0,74.4,50.3
770810000,Champdeuil (commune non irisée),GrandeCouronne,3138.0,85.1,50.3
784100000,Moisson (commune non irisée),GrandeCouronne,2408.0,81.1,50.2
952770103,Square La Garenne,GrandeCouronne,3111.0,69.3,50.2
911320000,Chamarande (commune non irisée),GrandeCouronne,3000.0,78.2,50.2
930010201,Péri,PetiteCouronne,3787.5,69.6,50.1
940160108,Prairie,PetiteCouronne,4210.0,64.8,50.1
911360000,Champlan (commune non irisée),GrandeCouronne,3701.0,69.8,50.1
930770103,Marnaudes,PetiteCouronne,3847.0,63.0,50.1
772850102,Courtilleraies Centre,GrandeCouronne,2076.0,73.7,50.1
956070111,Les Sarments,GrandeCouronne,3676.0,67.1,50.0
920320102,Buffets-Fauvettes,PetiteCouronne,4398.0,71.3,50.0
773470000,Les Ormes-sur-Voulzie (commune non irisée),GrandeCouronne,1765.0,80.1,49.9
